model,accuracy,precision,recall,f1_score,roc_auc,train_time_sec
Random Forest,0.979586129753915,1.0,0.5780346820809249,0.7326007326007326,0.990801214161595,34.86
Logistic Regression,0.9636465324384788,0.5787545787545788,0.9132947976878613,0.7085201793721974,0.9921371656087199,0.27
Decision Tree,0.9435123042505593,0.45396825396825397,0.8265895953757225,0.5860655737704918,0.893799079017324,6.09
Naive Bayes,0.95917225950783,0.651685393258427,0.3352601156069364,0.44274809160305345,0.9301738180694015,0.01
